x1       x2     label
0.77    -1.14    0
-0.33    1.44    0
0.91    -3.07    0
-0.37   -1.91    0
-0.63   -1.53    0
0.39    -1.99    0
-0.49   -2.74    0
-0.68   -1.52    0
-0.10   -3.43    0
-0.05   -1.95    0
3.88     0.65    1
0.73     2.97    1
0.83     3.94    1
1.59     1.25    1
1.14     3.91    1
1.73     2.80    1
1.31     1.85    1
1.56     3.85    1
1.23     2.54    1
1.33     2.03    1
4.00    -4.01    0
4.00    -1.15    1
3.25     2.78    1
2.32     3.87    1
-2.24    1.75    0
-3.91   -0.17    0
-0.91    4.97    1
-0.59    4.43    1
-2.59   -4.23    0
-1.64    4.95    1
1.63     2.12    1
0.11     0.63    0
2.09     4.27    1
3.55     3.55    1
3.55     2.55    1
3.55    -3.55    0
3.55    -4.05    0
0.15     4.87    1
0.15    -4.87    0
3.15     2.17    1
